value
21
39
79
49
48
29
26
66
12
61
90
49
60
59
19
65
28
28
44
51
12
21
82
61
56
84
76
11
79
33
100
43
67
78
80
120
145
27
18
15
29
124
78
7
29
65
67
89
140
