city	state	zip	latitude	longitude	avgMurderCount	avgNegligentManSlaughter	avgForcibleSexOffense	avgNonForcibleSexOffense	avgRobbery	avgAggravatedAssault	avgBurglary	avgVehicleTheft	avgArson	avgWeaponOffense	avgDrugViolations	avgLiquorViolations
Salt Lake City	UT	84123	40.659514	-111.92226	0	0	0	0	0	0	0	16.67	0	0	0	0
Salt Lake City	UT	84130	40.668068	-111.908297	0	0	66.67	0	16.67	0	233.33	450	0	33.33	300	266.67
Salt Lake City	UT	84180	40.770248	-111.90077	0	0	16.67	0	0	0	0	0	0	0	0	0
Saluda	SC	29108	34.282877	-81.61641	0	0	0	0	0	0	0	0	0	0	0	0
San Angelo	TX	76904	31.344515	-100.47217	0	0	0	0	0	0	0	0	0	0	0	0
San Angelo	TX	76909	31.39577	-100.68959	0	0	116.67	16.67	0	83.33	500	33.33	0	0	1516.67	4483.33
San Anselmo	CA	94960	37.981623	-122.56884	0	0	0	0	0	0	216.67	0	0	0	0	0
San Antonio	TX	78201	29.466781	-98.52519	0	0	0	0	0	0	22.22	44.44	0	0	0	0
San Antonio	TX	78203	29.414983	-98.46239	0	0	0	0	100	33.33	300	416.67	0	0	50	0
San Antonio	TX	78207	29.423932	-98.5235	0	0	25	0	0	66.67	100	50	8.33	25	225	91.67
San Antonio	TX	78209	29.48618	-98.4568	0	0	66.67	0	0	16.67	1333.33	16.67	0	33.33	183.33	566.67
San Antonio	TX	78212	29.460381	-98.49649	0	0	41.67	0	45.83	41.67	550	375	0	0	191.67	37.5
San Antonio	TX	78213	29.510562	-98.52203	0	0	11.11	0	66.67	33.33	144.44	44.44	0	0	0	0
San Antonio	TX	78215	29.438032	-98.48114	0	0	0	0	0	0	0	0	0	0	0	0
San Antonio	TX	78216	29.528515	-98.49219	0	0	0	0	0	0	75	0	0	8.33	0	8.33
San Antonio	TX	78217	29.543865	-98.41755	0	0	0	0	0	11.11	44.44	11.11	0	0	0	0
San Antonio	TX	78218	29.49428	-98.40431	0	0	0	0	0	66.67	116.67	16.67	0	0	0	0
