city	state	zip	latitude	longitude	avgMurderCount	avgNegligentManSlaughter	avgForcibleSexOffense	avgNonForcibleSexOffense	avgRobbery	avgAggravatedAssault	avgBurglary	avgVehicleTheft	avgArson	avgWeaponOffense	avgDrugViolations	avgLiquorViolations
311 Water Street	NV	89015	36.030927	-114.96787	0	0	0	0	0	0	0	0	0	0	0	0
Abbeville	SC	29320	34.957898	-81.99252	0	0	0	0	0	0	0	0	0	0	0	0
Aberdeen	SD	57401	45.46932	-98.49646	0	0	25	0	0	0	108.33	0	0	0	200	166.67
Aberdeen	WA	98520	46.972965	-123.81923	0	0	16.67	0	0	0	183.33	16.67	0	0	0	0
Abilene	TX	79601	32.500532	-99.69803	0	0	0	0	13.33	20	346.67	93.33	0	0	73.33	100
Abilene	TX	79602	32.40769	-99.72107	0	0	0	0	0	0	33.33	33.33	0	0	33.33	66.67
Abilene	TX	79605	32.432975	-99.77096	0	0	0	0	0	0	0	0	0	0	0	0
Abilene	TX	79697	32.302132	-99.890737	0	0	0	0	0	0	350	0	0	0	0	0
Abilene	TX	79698	32.475074	-99.73484	0	0	16.67	0	0	33.33	783.33	16.67	0	50	33.33	83.33
Abindgon	VA	24212	36.690942	-81.970764	0	0	0	0	0	0	0	0	0	0	0	0
Abingdon	VA	24210	36.728639	-82.00845	0	0	0	0	0	0	0	0	0	0	0	0
Abingdon	VA	24212	36.690942	-81.970764	0	0	0	0	0	0	0	0	0	0	0	0
Abington	PA	19001	40.127907	-75.12695	0	0	0	0	0	0	33.33	0	0	0	0	0
Acworth	GA	30102	34.097998	-84.6183	0	0	0	0	0	0	0	0	0	0	0	0
Ada	OH	45810	40.774039	-83.81821	0	0	83.33	0	0	0	750	0	0	0	283.33	466.67
Ada	OK	74820	34.780243	-96.68761	0	0	0	0	0	8.33	283.33	16.67	0	0	175	141.67
Adams	WI	53910	43.908737	-89.80722	0	0	0	0	0	0	0	0	0	0	0	0
Adamsville	TN	38310	35.241412	-88.38425	0	0	0	0	0	0	0	0	0	0	0	0
Addison	IL	60101	41.931573	-88.00222	0	0	0	0	0	8.33	25	16.67	16.67	33.33	125	33.33
Adelphi	MD	20783	38.98941	-76.97294	0	0	16.67	0	0	0	16.67	0	0	0	33.33	0
Adelphia	NJ	07710	40.302718	-74.24928	0	0	0	0	0	0	0	0	0	0	0	0
Adrian	MI	49221	41.900927	-84.04585	0	0	95.24	4.76	0	57.14	719.05	19.05	9.52	0	119.05	242.86
Afton	OK	74331	36.618326	-94.93424	0	0	0	0	0	0	0	0	0	16.67	100	16.67
Agency Village	SD	57262	45.667565	-97.04528	0	0	0	0	0	0	33.33	0	0	0	0	0
Ahoskie	NC	27910	36.293352	-76.98612	0	0	8.33	0	0	0	8.33	0	0	41.67	50	33.33
Aiea	HI	96701	21.389167	-157.93091	0	0	0	0	0	0	0	0	0	0	0	0
Aiken	SC	29801	33.569885	-81.71368	0	0	44.44	0	0	44.44	588.89	88.89	0	11.11	233.33	888.89
Aiken	SC	29803	33.486049	-81.70946	0	0	0	0	0	0	0	0	0	0	0	0
Akron	OH	44306	41.046055	-81.49039	0	0	0	0	0	0	0	0	0	0	0	0
Akron	OH	44310	41.107655	-81.50091	0	0	0	0	16.67	0	0	0	0	0	0	0
Akron	OH	44313	41.123588	-81.57129	0	0	0	0	0	0	0	0	0	0	0	0
Akron	OH	44319	40.990922	-81.52953	0	0	0	0	0	0	50	0	0	0	0	0
Akron	OH	44320	41.083155	-81.57022	0	0	0	0	0	0	60	0	0	0	0	0
Akron	OH	44321	41.102587	-81.65092	0	0	0	0	0	0	0	0	0	0	0	0
Akron	OH	44325	41.076425	-81.51026	0	0	400	0	283.33	50	916.67	983.33	33.33	166.67	2833.33	1883.33
Akron	OH	44333	41.144661	-81.61948	0	0	0	0	0	0	0	0	0	0	33.33	0
Alachua	FL	32615	29.801949	-82.48872	0	0	0	0	0	0	0	0	0	0	0	0
Alameda	CA	94501	37.769528	-122.25937	0	0	8.33	0	41.67	83.33	100	33.33	0	16.67	25	8.33
Alameda	CA	94510	38.071769	-122.15517	0	0	0	0	0	0	33.33	0	0	0	0	0
Alamogordo	NM	88310	32.839921	-105.97561	0	0	0	0	8.33	0	75	8.33	0	0	25	0
Alamosa	CO	81101	37.471802	-105.83471	0	0	0	0	0	0	0	0	0	0	0	50
Alamosa	CO	81102	37.476026	-105.881779	0	0	200	0	66.67	50	1216.67	0	133.33	116.67	2400	1350
Albany	GA	31701	31.580774	-84.16044	0	0	33.33	0	0	0	33.33	233.33	0	16.67	133.33	0
Albany	GA	31705	31.552483	-84.09678	0	0	100	0	150	116.67	700	250	0	333.33	1783.33	850
Albany	GA	31707	31.568073	-84.22644	0	0	0	0	33.33	16.67	216.67	100	0	16.67	50	250
Albany	NY	12203	42.678112	-73.82983	0	0	66.67	0	33.33	44.44	788.89	0	0	0	22.22	0
Albany	NY	12204	42.683727	-73.73329	0	0	33.33	0	33.33	116.67	16.67	0	0	0	250	0
Albany	NY	12205	42.713328	-73.8179	0	0	0	0	3.33	6.67	10	0	0	0	43.33	0
Albany	NY	12206	42.669645	-73.77719	0	0	0	0	4.17	0	8.33	4.17	8.33	0	0	0
Albany	NY	12208	42.654978	-73.80053	0	0	29.63	0	7.41	29.63	51.85	0	0	0	11.11	0
Albany	NY	12222	42.692909	-73.838035	0	0	833.33	0	183.33	300	3416.67	166.67	266.67	300	6416.67	316.67
Albany	OH	45710	39.202517	-82.21421	0	0	0	0	0	0	0	0	0	0	16.67	166.67
Albany	OR	97321	44.635395	-123.0896	0	0	0	0	16.67	0	0	83.33	0	16.67	33.33	0
Albemarle	NC	28001	35.351477	-80.19879	0	0	0	0	0	0	0	16.67	0	33.33	50	0
Albert Lea	MN	56007	43.652042	-93.36916	0	0	0	0	0	0	0	0	0	0	0	0
Alberta	VA	23821	36.87229	-77.91125	0	0	0	0	0	0	0	0	0	0	0	0
Albion	MI	49224	42.261257	-84.75151	0	0	191.67	0	25	50	416.67	25	25	0	8.33	108.33
Albuquerque	NM	87105	35.031329	-106.68695	0	0	0	0	0	8.33	8.33	33.33	0	0	16.67	0
Albuquerque	NM	87106	35.078246	-106.61747	0	0	66.67	0	16.67	400	83.33	983.33	0	16.67	183.33	0
Albuquerque	NM	87107	35.134094	-106.64073	0	0	0	0	11.11	0	11.11	11.11	0	0	0	0
Albuquerque	NM	87109	35.155811	-106.56662	0	0	0	0	0	0	5.56	0	0	0	0	0
Albuquerque	NM	87110	35.106396	-106.57927	0	0	0	0	0	0	14.29	7.14	0	0	0	0
Albuquerque	NM	87111	35.135303	-106.52223	0	0	50	0	16.67	83.33	16.67	83.33	0	0	0	0
Albuquerque	NM	87112	35.100796	-106.52067	0	0	0	0	0	0	0	0	0	0	0	0
Albuquerque	NM	87113	35.179635	-106.59384	0	0	0	0	0	0	25	16.67	0	0	0	0
Albuquerque	NM	87114	35.196446	-106.67336	0	0	16.67	0	0	0	16.67	100	0	0	16.67	0
Albuquerque	NM	87120	35.146144	-106.70851	0	16.67	16.67	0	16.67	283.33	83.33	33.33	0	0	116.67	416.67
Albuquerque	NM	87123	35.067447	-106.50645	0	0	0	0	0	0	66.67	33.33	0	0	0	0
Albuquerque	NM	87131	35.044339	-106.672872	0	0	450	0	316.67	766.67	3616.67	4550	266.67	100	2050	1083.33
Alcorn State	MS	39096	31.825143	-91.07877	0	0	100	133.33	83.33	150	1150	116.67	333.33	316.67	533.33	16.67
Alexander City	AL	35010	32.903432	-85.92669	0	0	0	0	0	16.67	16.67	0	0	0	0	0
Alexandria	IN	46001	40.257082	-85.673	0	0	0	0	0	0	0	0	0	0	0	0
Alexandria	LA	71301	31.294532	-92.46015	0	0	0	0	0	11.11	11.11	0	0	0	0	0
Alexandria	LA	71302	31.261716	-92.42469	0	0	0	0	8.33	8.33	233.33	0	0	0	383.33	83.33
Alexandria	LA	71303	31.302432	-92.50515	0	0	0	0	0	0	0	0	0	0	0	0
Alexandria	MN	56308	45.88645	-95.38287	0	0	16.67	0	0	0	0	16.67	0	0	0	150
Alexandria	VA	22310	38.782013	-77.12125	0	0	0	0	0	0	0	0	0	0	0	0
Alexandria	VA	22311	38.837312	-77.12064	0	0	66.67	0	66.67	100	16.67	0	0	33.33	133.33	83.33
Alexandria	VA	22312	38.817362	-77.1537	0	0	0	0	0	0	0	0	0	0	0	0
Alexandria	VA	22314	38.806163	-77.05139	0	0	5.56	0	5.56	11.11	5.56	0	0	0	0	0
Alfred	NY	14802	42.255694	-77.78904	0	0	250	0	75	383.33	841.67	33.33	66.67	66.67	4375	3025
Algona	IA	50511	43.0739	-94.22602	0	0	0	0	0	0	0	0	0	0	0	0
Alhambra	CA	91801	34.090409	-118.127	0	0	0	0	0	0	0	0	0	0	0	0
Alhambra	CA	91802	33.786594	-118.298662	0	0	0	0	0	0	0	0	0	0	0	0
Alhambra	CA	91803	34.072959	-118.1462	0	0	0	0	0	0	14.81	0	0	0	3.7	0
Alice	TX	78332	27.737965	-98.09302	0	0	0	0	0	16.67	33.33	33.33	0	16.67	50	0
Aliso Viejo	CA	92656	33.581533	-117.72474	0	0	50	0	0	0	0	33.33	0	0	16.67	0
Allen Park	MI	48101	42.254788	-83.21027	0	0	0	0	0	0	33.33	0	0	0	0	0
Allendale	MI	49401	42.973667	-85.9318	0	0	316.67	0	0	50	383.33	0	16.67	33.33	5016.67	17266.67
Allendale	SC	29810	33.010041	-81.33069	0	0	0	0	0	16.67	0	0	0	0	0	0
Allentown	PA	18101	40.602847	-75.47022	0	0	0	0	0	0	0	0	0	0	0	0
Allentown	PA	18102	40.607747	-75.4793	0	0	0	0	0	0	0	0	0	0	0	0
Allentown	PA	18104	40.601996	-75.52104	0	0	161.11	0	16.67	27.78	466.67	22.22	0	0	38.89	777.78
Allentown	PA	18106	40.569288	-75.58893	0	0	0	0	0	0	0	0	0	0	66.67	0
Allentown	PA	18109	40.693376	-75.471156	0	0	0	0	0	0	0	0	0	0	0	0
Alliance	OH	44601	40.917908	-81.11641	0	0	37.5	0	12.5	0	475	0	4.17	12.5	216.67	154.17
Alma	MI	48801	43.377113	-84.66256	0	0	88.89	0	0	11.11	33.33	11.11	0	0	122.22	33.33
Almeda	CA	94501	37.769528	-122.25937	0	0	0	0	0	0	0	0	0	0	0	0
Alpena	MI	49707	45.08583	-83.46411	0	0	0	0	0	11.11	33.33	22.22	0	11.11	22.22	222.22
Alpharetta	GA	30005	34.080035	-84.21929	0	0	0	0	0	0	33.33	0	0	0	0	0
Alpharetta	GA	30009	33.844371	-84.47405	0	0	0	0	0	0	0	0	0	0	0	0
Alpharetta	GA	30022	34.026238	-84.24506	0	0	0	0	0	0	0	0	0	0	0	0
Alpine	TX	79832	30.363139	-103.653904	0	0	33.33	0	0	50	1133.33	133.33	83.33	33.33	1583.33	2000
Altamonte Springs	FL	32701	28.666249	-81.36796	0	0	0	0	0	0	5.56	0	0	0	0	0
Altamonte Springs	FL	32714	28.663913	-81.41112	0	0	0	0	25	0	41.67	8.33	0	8.33	8.33	16.67
Altavista	VA	24517	37.127543	-79.27409	0	0	0	0	0	0	0	0	0	0	0	0
Alton	IL	62002	38.906065	-90.15909	0	0	0	0	0	8.33	0	0	0	0	0	0
Altoona	PA	16601	40.526319	-78.40082	0	0	116.67	0	0	33.33	583.33	16.67	83.33	16.67	783.33	6616.67
Altoona	PA	16602	40.50217	-78.39121	0	0	0	0	3.33	3.33	0	0	0	6.67	13.33	3.33
Altus	OK	73521	34.638773	-99.31787	0	0	0	0	8.33	8.33	8.33	8.33	0	0	0	0
Altus Afb	OK	73523	34.598197	-99.440839	0	0	0	0	0	0	0	0	0	0	0	0
Alva	OK	73717	36.804875	-98.69707	0	0	75	0	0	8.33	308.33	0	0	0	116.67	58.33
Alvin	TX	77511	29.41148	-95.24475	0	0	0	0	0	0	200	33.33	0	0	33.33	133.33
Amarillo	TX	79101	35.206402	-101.83924	0	0	0	0	0	0	0	33.33	0	0	0	0
Amarillo	TX	79103	35.184253	-101.81073	0	0	0	0	0	0	16.67	16.67	0	0	16.67	0
Amarillo	TX	79106	35.204652	-101.88353	0	0	0	0	0	0	11.11	22.22	0	11.11	33.33	0
Amarillo	TX	79107	35.228302	-101.81946	0	0	0	0	0	0	0	0	0	0	0	0
Amarillo	TX	79109	35.171903	-101.87581	0	0	0	0	0	0	0	0	0	0	0	0
Amarillo	TX	79111	35.226552	-101.67875	0	0	0	0	0	0	0	0	0	0	0	0
Amarillo	TX	79178	35.401475	-101.895089	0	0	16.67	0	50	0	183.33	33.33	0	0	50	16.67
Amarillo	TX	92106	32.7259	-117.23079	0	0	0	0	0	0	16.67	16.67	0	0	0	0
Ambler	PA	19002	40.169608	-75.21158	0	0	0	0	0	0	33.33	0	0	0	0	0
Ambridge	PA	15003	40.593917	-80.22181	0	0	0	0	0	0	0	0	0	0	0	0
American Fork	UT	84003	40.394235	-111.79449	0	0	0	0	0	0	0	0	0	0	0	0
Americus	GA	31709	32.071641	-84.21942	0	0	0	0	0	100	150	50	0	25	391.67	933.33
Ames	IA	50010	42.02933	-93.60966	0	0	0	0	0	0	0	0	0	0	0	8.33
Ames	IA	50011	42.035998	-93.465172	0	0	1116.67	0	50	600	3200	266.67	233.33	66.67	7266.67	26483.33
Amherst	MA	01002	42.377651	-72.50323	0	0	1008.33	8.33	33.33	66.67	1408.33	33.33	125	25	116.67	16.67
Amherst	MA	01003	42.369562	-72.63599	0	0	1316.67	0	66.67	866.67	4883.33	216.67	166.67	616.67	5766.67	33500
Amherst	NY	14226	42.968057	-78.80047	0	0	16.67	0	0	33.33	350	16.67	16.67	0	83.33	16.67
Amherst	VA	24521	37.616606	-79.08763	0	0	0	0	0	0	0	0	0	0	0	0
Amityville	NY	11701	40.6851	-73.41317	0	0	0	0	0	0	0	0	0	0	0	0
Anaheim	CA	92801	33.844814	-117.95381	0	0	0	0	19.05	11.9	21.43	14.29	0	0	0	0
Anaheim	CA	92802	33.806965	-117.92594	0	0	0	0	0	0	0	0	0	0	0	0
Anaheim	CA	92805	33.835665	-117.90807	0	0	0	0	0	0	4.76	0	0	0	0	0
Anaheim	CA	92806	33.835465	-117.87362	0	0	0	0	0	0	0	33.33	0	0	0	0
Anamosa	IA	52205	42.106972	-91.27531	0	0	0	0	0	0	0	0	0	0	0	0
Anchorage	AK	99504	61.204466	-149.74633	0	0	0	0	11.11	33.33	33.33	0	0	0	0	0
Anchorage	AK	99507	61.154834	-149.82865	0	0	0	0	0	0	16.67	0	0	0	0	0
Anchorage	AK	99508	61.203953	-149.8144	0	0	77.78	0	16.67	50	100	66.67	5.56	33.33	255.56	2494.44
Andalusia	AL	36420	31.279043	-86.48699	0	0	0	0	0	0	33.33	0	0	0	16.67	0
Anderson	IN	46012	40.132892	-85.65097	0	0	0	0	0	16.67	900	16.67	16.67	0	0	0
Anderson	IN	46013	40.061092	-85.67672	0	0	0	0	0	0	0	0	0	0	0	0
Anderson	IN	46016	40.098641	-85.68452	0	0	0	0	0	0	0	0	0	0	0	0
Anderson	SC	29621	34.523657	-82.62509	0	0	0	0	16.67	50	266.67	16.67	0	0	0	0
Anderson	SC	29624	34.478139	-82.6455	0	0	0	0	0	0	0	0	0	0	0	0
Anderson	SC	29625	34.532638	-82.71615	0	0	0	0	0	0	0	0	0	0	0	0
Andover	MA	01810	42.646942	-71.1513	0	0	0	0	16.67	0	16.67	0	0	0	0	0
Andrew Air Force Base	MD	20762	38.820546	-76.88334	0	0	0	0	0	0	0	0	0	0	0	0
Angola	IN	46703	41.656798	-85.0223	0	0	33.33	0	0	44.44	755.56	0	0	0	122.22	222.22
Angola	NY	14006	42.633375	-79.04567	0	0	0	0	0	0	0	0	0	0	0	0
Angwin	CA	94508	38.568307	-122.45084	0	0	0	0	0	116.67	783.33	116.67	0	0	16.67	16.67
Ankeny	IA	50021	41.725288	-93.60475	0	0	0	0	0	0	0	0	0	0	0	0
Ann Arbor	MI	48103	42.280887	-83.79147	0	0	0	0	0	0	0	0	0	0	0	0
Ann Arbor	MI	48105	42.307288	-83.70443	0	0	12.5	0	0	29.17	137.5	41.67	8.33	0	4.17	0
Ann Arbor	MI	48108	42.232807	-83.72671	0	0	0	0	0	0	0	0	0	0	0	0
Ann Arbor	MI	48109	42.291637	-83.71831	0	0	2316.67	0	450	1100	3200	1000	416.67	283.33	9600	33383.33
Annandale	VA	22003	38.830345	-77.21387	0	0	27.78	0	22.22	16.67	5.56	11.11	0	0	27.78	11.11
Annandale On Hudson	NY	12504	42.035434	-73.909234	0	0	600	0	0	33.33	1716.67	16.67	16.67	0	0	0
Annapolis	MD	21404	38.974203	-76.594942	0	0	33.33	0	33.33	16.67	283.33	33.33	0	0	0	0
Annville	PA	17003	40.347757	-76.53498	0	0	266.67	0	0	0	0	50	0	0	250	2233.33
Anoka	MN	55303	45.247509	-93.418	0	0	0	0	0	0	16.67	0	0	0	166.67	0
Anthony	NM	88021	32.013822	-106.5443	0	0	0	0	0	0	33.33	0	0	0	0	0
Antioch	CA	94509	37.991571	-121.80207	0	0	0	0	0	0	33.33	0	0	0	0	0
Antioch	TN	37013	36.055115	-86.64782	0	0	0	0	0	0	0	0	0	0	0	0
Apopka	FL	32703	28.658395	-81.50319	0	0	0	0	0	0	0	0	0	0	0	0
Apple Valley	CA	92307	34.538622	-117.17729	0	0	0	0	0	0	0	0	0	0	0	0
Appleton	WI	54911	44.276986	-88.39445	0	0	183.33	0	0	0	91.67	0	0	0	500	883.33
Appleton	WI	54913	44.322836	-88.40492	0	0	0	0	0	16.67	33.33	0	0	16.67	66.67	50
Appleton	WI	54914	44.267411	-88.4383	0	0	0	0	26.67	0	0	0	0	0	0	0
Appleton	WI	54915	44.244753	-88.37783	0	0	0	0	0	0	0	0	0	0	0	0
Appomattox	VA	24522	37.374688	-78.80585	0	0	0	0	0	0	0	0	0	0	0	0
Aptos	CA	95003	36.979333	-121.8944	0	0	16.67	0	16.67	33.33	1533.33	33.33	0	216.67	616.67	133.33
Arcadia	CA	91006	34.134057	-118.02662	0	0	0	0	0	0	0	0	0	0	0	0
Arcadia	FL	34266	27.201006	-81.87196	0	0	0	0	0	0	16.67	16.67	0	0	0	0
Arcata	CA	95521	40.867469	-124.07519	0	0	333.33	0	66.67	83.33	766.67	216.67	116.67	150	5150	1266.67
Archbold	OH	43502	41.529231	-84.30866	0	0	0	0	0	0	0	0	0	0	0	0
Archbold	OH	43512	41.29037	-84.36539	0	0	0	0	0	0	0	0	0	0	200	0
Archer	FL	32618	29.517277	-82.54518	0	0	0	0	0	0	0	0	0	0	0	0
Arden Hills	MN	55112	45.076365	-93.19335	0	0	11.11	0	0	44.44	322.22	188.89	11.11	0	0	22.22
Ardmore	OK	73401	34.184742	-97.12655	0	0	0	0	0	0	0	0	0	0	50	0
Arkadelphia	AR	71923	34.111837	-93.05585	0	0	0	0	0	0	33.33	0	0	0	0	0
Arkadelphia	AR	71998	34.055486	-93.189406	0	0	50	0	0	0	183.33	33.33	0	0	16.67	33.33
Arkadelphia	AR	71999	34.055486	-93.189406	0	0	133.33	0	16.67	100	1600	183.33	16.67	0	166.67	516.67
Arkansas City	KS	67005	37.067387	-97.02831	0	0	83.33	0	0	83.33	200	33.33	0	0	316.67	1050
Arlington	TX	76006	32.778047	-97.08088	0	0	0	0	83.33	0	33.33	16.67	0	0	0	0
Arlington	TX	76010	32.723382	-97.08498	0	0	0	0	0	0	0	0	0	0	0	0
Arlington	TX	76011	32.753672	-97.08706	0	0	3.33	0	3.33	6.67	26.67	16.67	0	0	0	0
Arlington	TX	76012	32.752048	-97.13514	0	0	0	0	0	0	50	0	0	0	0	0
Arlington	TX	76013	32.721632	-97.14698	0	0	0	0	0	0	0	0	0	0	0	0
Arlington	TX	76015	32.691393	-97.13546	0	0	66.67	0	0	0	0	0	0	0	0	0
Arlington	TX	76018	32.65392	-97.08724	0	0	0	0	25	0	0	66.67	0	0	41.67	16.67
Arlington	TX	76019	32.771419	-97.291484	0	0	450	0	500	216.67	3150	700	0	100	1650	3733.33
Arlington	VA	22202	38.856795	-77.05628	0	0	6.67	0	0	0	33.33	0	0	0	0	0
Arlington	VA	22203	38.874979	-77.11455	0	0	0	0	0	6.67	20	0	0	0	0	13.33
Arlington	VA	22207	38.903697	-77.12749	0	0	111.11	0	0	66.67	177.78	0	0	0	100	66.67
Arlington	VA	22209	38.893241	-77.07453	0	0	0	0	4.76	9.52	23.81	9.52	0	0	0	4.76
Arlington	VA	22214	38.880811	-77.11295	0	0	0	0	0	0	0	0	0	0	0	0
Arlington Heights	IL	60004	42.108428	-87.97723	0	0	0	0	0	0	16.67	0	0	0	0	0
Armonk	NY	10504	41.129908	-73.70352	0	0	0	0	0	0	0	0	0	0	0	0
Arnold	MD	21012	39.049377	-76.49892	0	0	83.33	0	0	0	0	16.67	0	0	866.67	200
Arnold	MO	63010	38.42727	-90.38515	0	0	0	0	0	0	14.29	9.52	0	4.76	0	0
Arroyo Grande	CA	93420	35.119678	-120.55116	0	0	0	0	0	0	33.33	0	0	0	50	16.67
Artesia	CA	90701	33.867215	-118.08062	0	0	0	0	0	0	0	0	0	0	0	0
Arundel	ME	04046	43.399494	-70.4769	0	0	0	0	0	0	16.67	0	0	0	0	0
Arvada	CO	80003	39.825357	-105.06439	0	0	0	0	0	0	0	0	0	0	0	0
Ashburn	VA	20147	39.041978	-77.49064	0	0	0	0	0	0	0	0	0	0	0	0
Asheboro	NC	27205	35.665973	-79.832161	0	0	0	0	0	0	0	0	0	83.33	50	16.67
Asheville	NC	28801	35.595661	-82.55632	0	0	5.56	0	16.67	11.11	77.78	72.22	5.56	33.33	188.89	27.78
Asheville	NC	28803	35.54179	-82.52307	0	0	0	0	0	0	0	0	0	0	0	0
Asheville	NC	28804	35.635844	-82.55992	0	0	250	0	50	66.67	766.67	33.33	33.33	66.67	966.67	1366.67
Asheville	NC	28805	35.599363	-82.50007	0	0	0	0	0	0	0	0	0	0	0	0
Asheville	NC	28806	35.575877	-82.6062	0	0	0	0	0	0	11.11	22.22	0	0	0	0
Asheville	NC	28815	35.620335	-82.528558	0	0	866.67	16.67	16.67	66.67	1666.67	50	50	0	0	83.33
Ashland	KY	41101	38.473961	-82.64532	0	0	0	0	0	0	88.89	0	0	0	0	11.11
Ashland	KY	41102	38.439526	-82.6932	0	0	0	0	0	0	41.67	0	8.33	0	58.33	0
Ashland	MA	01721	42.257956	-71.45886	0	0	0	0	0	0	0	0	0	0	0	0
Ashland	OH	44805	40.867016	-82.31514	0	0	44.44	5.56	0	0	355.56	0	11.11	5.56	144.44	50
Ashland	OR	97520	42.169751	-122.61772	0	0	366.67	0	33.33	0	933.33	83.33	250	100	3850	4733.33
Ashland	VA	23005	37.754254	-77.47465	0	0	666.67	0	0	200	950	16.67	0	0	483.33	866.67
Ashland	WI	54806	46.577191	-90.89707	0	0	16.67	0	0	0	33.33	8.33	0	0	100	16.67
Ashtabula	OH	44004	41.871212	-80.79178	0	0	0	0	183.33	0	0	0	0	0	0	0
Ashwaubenon	WI	54304	44.499346	-88.06318	0	0	0	0	0	0	0	0	0	0	0	0
Aston	PA	19014	39.864761	-75.4326	0	0	66.67	0	0	33.33	383.33	0	0	0	58.33	108.33
Astoria	NY	11103	40.762968	-73.91091	0	0	0	0	0	33.33	0	0	0	0	0	0
Astoria	OR	97103	46.155007	-123.7417	0	0	0	0	0	0	300	0	0	0	16.67	0
Atchison	KS	66002	39.553786	-95.13472	0	0	83.33	0	0	16.67	483.33	0	0	0	66.67	0
Athens	AL	35611	34.784028	-87.02767	0	0	0	0	0	0	50	33.33	0	0	16.67	0
Athens	GA	30601	33.979016	-83.36423	0	0	0	0	0	0	16.67	0	0	0	25	8.33
Athens	GA	30602	33.948432	-83.3749	0	0	566.67	0	200	116.67	5633.33	766.67	383.33	633.33	6000	20500
Athens	GA	30605	33.925085	-83.34529	0	0	0	0	0	0	0	0	0	0	0	0
Athens	GA	30606	33.945619	-83.41732	0	0	0	0	0	0	0	0	0	0	0	0
Athens	OH	45701	39.322847	-82.09728	16.67	0	916.67	0	116.67	133.33	3316.67	100	333.33	83.33	11100	17433.33
Athens	TN	37303	35.441378	-84.61975	0	0	0	0	0	16.67	150	0	0	16.67	83.33	266.67
Athens	TN	37371	35.441376	-84.641623	0	0	0	0	0	0	0	0	0	0	0	0
Athens	TX	75751	32.184027	-95.84625	0	0	83.33	0	16.67	0	700	33.33	0	16.67	150	300
Athens	WV	24712	37.448532	-81.0032	0	0	133.33	0	0	16.67	883.33	16.67	16.67	0	766.67	950
Atherton	CA	94027	37.458615	-122.20009	0	0	0	0	0	33.33	0	0	0	0	0	0
Atlanta	GA	28134	35.086017	-80.89034	0	0	0	0	0	0	33.33	0	0	0	0	0
Atlanta	GA	30302	33.844371	-84.47405	0	0	383.33	0	400	233.33	600	333.33	16.67	116.67	2133.33	5333.33
Atlanta	GA	30303	33.752856	-84.39013	0	0	0	0	0	533.33	0	133.33	0	0	500	8.33
Atlanta	GA	30305	33.830054	-84.38472	0	0	0	0	0	0	6.67	0	0	0	0	0
Atlanta	GA	30307	33.768205	-84.33786	0	0	0	0	0	0	50	33.33	0	0	0	33.33
Atlanta	GA	30308	33.771755	-84.38065	0	0	50	0	33.33	16.67	16.67	100	16.67	50	216.67	50
Atlanta	GA	30309	33.794055	-84.38525	0	0	0	0	29.17	8.33	20.83	8.33	0	0	4.17	0
Atlanta	GA	30310	33.727807	-84.41983	0	0	0	0	16.67	0	161.11	350	0	38.89	88.89	0
Atlanta	GA	30313	33.761223	-84.39599	0	0	0	0	0	0	0	0	0	0	0	0
Atlanta	GA	30314	33.758056	-84.42268	4.17	0	62.5	0	204.17	91.67	1991.67	145.83	12.5	16.67	541.67	87.5
Atlanta	GA	30315	33.709595	-84.38365	0	0	0	0	0	0	0	0	0	0	0	0
Atlanta	GA	30316	33.729506	-84.34087	0	0	0	0	16.67	33.33	150	16.67	0	0	0	0
Atlanta	GA	30318	33.786805	-84.437	0	0	0	0	0	0	66.67	0	0	0	0	0
Atlanta	GA	30319	33.872053	-84.33611	0	0	22.22	0	0	0	266.67	11.11	0	11.11	33.33	0
Atlanta	GA	30322	33.793754	-84.3238	0	0	1333.33	16.67	66.67	116.67	1633.33	1066.67	83.33	100	983.33	66.67
Atlanta	GA	30324	33.818304	-84.35779	0	0	0	0	0	0	50	0	0	0	0	0
Atlanta	GA	30326	33.849853	-84.3606	0	0	50	66.67	650	216.67	366.67	616.67	0	66.67	433.33	83.33
Atlanta	GA	30327	33.86427	-84.41972	0	0	0	0	0	0	33.33	0	0	0	0	0
Atlanta	GA	30328	33.931746	-84.37817	0	0	0	0	173.33	43.33	160	3.33	0	6.67	6.67	0
Atlanta	GA	30331	33.715558	-84.52728	0	0	0	0	0	0	0	0	0	0	0	0
Atlanta	GA	30332	33.776305	-84.397976	0	0	450	0	250	216.67	4316.67	1616.67	0	166.67	383.33	233.33
Atlanta	GA	30338	33.942751	-84.31769	0	0	0	0	0	0	116.67	100	0	0	116.67	0
Atlanta	GA	30339	33.87507	-84.46615	0	0	0	0	0	0	6.67	0	0	6.67	0	0
Atlanta	GA	30341	33.888102	-84.29321	0	0	0	0	0	0	177.78	11.11	0	0	0	0
Atlanta	GA	30342	33.879003	-84.37203	0	0	0	0	0	50	16.67	0	0	0	0	0
Atlanta	GA	30345	33.851736	-84.28412	0	0	0	0	0	0	16.67	0	0	0	0	0
Atlanta	GA	30346	33.926753	-84.33877	0	0	0	0	0	0	0	0	0	0	0	0
Atlanta	GA	30349	33.61541	-84.49033	0	0	0	0	0	0	83.33	0	0	0	0	0
Atlanta	GA	30360	33.934536	-84.27215	0	0	0	0	0	0	0	0	0	0	0	0
Atlantic	IA	50022	41.410484	-95.00852	0	0	0	0	0	0	0	0	0	0	0	0
