UNITID_P	INSTNM	BRANCH	ADDRESS	CITY	STATE	ZIP	LATITUDE	LONGITUDE
216339006	Temple University	School of Podiatric Medicine	800 RACE STREET	PHILADELPHIA	PA	19107	39.952112	-75.15853
214023001	Metropolitan Career Center Computer Technology Institute	Metropolitan Career Center Computer Technology Ins	100 South Broad Street, Suite 830	PHILADELPHIA	PA	19110	39.950212	-75.163572
383899001	Star Career Academy-Philadelphia	Star Career Academy	2371 Welsh Road	Philadelphia	PA	191142206	40.064257	-75.00155
250285001	Aviation Institute of Maintenance-Philadelphia	Aviation Institute of Maintenance	3001 Grant Avenue	Philadelphia	PA	19114	40.064257	-75.00155
214528001	Orleans Technical Institute	Orleans Technical Institute	2770 Red Lion Road	PHILADELPHIA	PA	191141019	40.064257	-75.00155
212984001	Holy Family University	Northeast Philadelphia	9801 Frankford Ave	PHILADELPHIA	PA	191142094	40.064257	-75.00155
210784002	Magnolia School	TONI & GUY HAIRDRESSING ACADEMY	9898-9902 E. ROOSEVELT BLVD.	PHILADELPHIA	PA	19115	40.09261	-75.04118
448114001	National Massage Therapy Institute	Philadelphia Campus	10050 Roosevelt Blvd, Suite 8	Philadelphia	PA	19116	40.117413	-75.0154
442037001	Lincoln Technical Institute-Northeast Philadelphia	Main Campus	2180 HORNIG RD	PHILADELPHIA	PA	19116	40.117413	-75.0154
215062005	University of Pennsylvania	Morris Arboretum	100 East Northwestern Avevnue	Phladelphia	PA	19118	40.07236	-75.20772
211583001	Chestnut Hill College	Chestnut Hill College	9601 GERMANTOWN AVE	PHILADELPHIA	PA	191182693	40.07236	-75.20772
213640001	Lutheran Theological Seminary at Philadelphia	Main Campus	7301 GERMANTOWN AVE	PHILADELPHIA	PA	191191794	40.053511	-75.18858
216339001	Temple University	Main Campus	1801 N. BROAD STREET	PHILADELPHIA	PA	191226096	39.977662	-75.14336
212133003	Eastern University	Eastern University Philadelphia	1800 John F. Kennedy Blvd	Philadelphia	PA	19123	39.964012	-75.14764
213932001	Roxborough Memorial Hospital School of Nursing	Main Campus	5800 RIDGE AVE	PHILADELPHIA	PA	19128	40.038944	-75.22104
215123004	Philadelphia College of Osteopathic Medicine	Roxborough Healthcare Center	5830 Henry Avenue	Philadelphia	PA	19128	40.038944	-75.22104
212133005	Eastern University	Eastern University Falls Center Philadelphia	3300 Henry Ave	Philadelphia	PA	19129	40.011562	-75.1839
212054004	Drexel University	Queen Lane Campus	2900 W. Queen Lane	Philadelphia	PA	19129	40.011562	-75.1839
434380001	L T International Beauty School	Main Campus	830 North Broad Street	PHILADELPHIA	PA	19130	39.968262	-75.17222
215239001	Community College of Philadelphia	Spring Garden Street (Main) Campus	1700 SPRING GARDEN ST	PHILADELPHIA	PA	191303991	39.968262	-75.17222
215062003	University of Pennsylvania	University Boathouse on the Schuylkill River	11 kelly drive	Philadelphia	PA	19130	39.968262	-75.17222
212133007	Eastern University	Eastern University, at People for People Institute	800 N. Broad Street  7th floor	Philadelphia	PA	19130	39.968262	-75.17222
215062002	University of Pennsylvania	Glenolden Research Lab	500 S rideway Avenue	Glenolden	PA	19130	39.968262	-75.17222
216311001	Talmudical Yeshiva of Philadelphia	Main Campus	6063 DREXEL RD	PHILADELPHIA	PA	19131	39.981112	-75.22486
215770001	Saint Joseph's University	Main Campus	5600 City Avenue	Philadelphia	PA	19131	39.981112	-75.22486
215123001	Philadelphia College of Osteopathic Medicine	PCOM - Main Campus	4170 CITY AVE	PHILADELPHIA	PA	19131	39.981112	-75.22486
215123006	Philadelphia College of Osteopathic Medicine	Cambria Healthcare Center	2100 W. Cambria Avenue	Philadelphia	PA	19132	39.995412	-75.16977
383400001	Northeastern Hospital School of Nursing	Main Campus	2301 E ALLEGHENY AVE	PHILADELPHIA	PA	19134	39.991712	-75.11116
213589001	Lincoln Technical Institute-Philadelphia	PhiladelphiaCampus	9191 TORRESDALE AVE	PHILADELPHIA	PA	19136	40.041111	-75.02644
215239004	Community College of Philadelphia	West Philadelphia Regional Center	4725 Chestnut St.	Phila.	PA	19139	39.961812	-75.23003
212133006	Eastern University	Esperanza College	4261 N. Fifth Street	Philadelphia	PA	19140	40.012212	-75.14503
216339003	Temple University	Health Science Campus	3401 N. BROAD ST.	PHILADELPHIA	PA	19140	40.012212	-75.14503
215239003	Community College of Philadelphia	Northwest Regional Center	1300 Godfrey Ave.	Phila.	PA	19141	40.035778	-75.1447
213367001	La Salle University	LA SALLE UNIVERSITY	1900 W OLNEY AVE	PHILADELPHIA	PA	191411199	40.035778	-75.1447
215099002	Philadelphia University	Bucks Campuses	School House Lane and Henry Avenue	Philadelphia	PA	191445497	40.034111	-75.17203
215099001	Philadelphia University	Main Campus	SCHOOLHOUSE LN AND HENRY AVE	PHILADELPHIA	PA	191445497	40.034111	-75.17203
419341001	Jna Institute of Culinary Arts	Main Campus	1212 S BROAD ST	PHILADELPHIA	PA	19146	39.938512	-75.18067
414540001	Jean Madeline Aveda Institute	Main Campus	315A BAINBRIDGE ST	PHILADELPHIA	PA	19147	39.936562	-75.15409
417840001	Prism Career Institute-Philadelphia	Main Campus	8040 Roosevelt Blvd	Philadelphia	PA	19152	40.059611	-75.04837
212753001	Empire Beauty School-NE Philadelphia	Empire Beauty School - NE Philadelphia, PA	4026 Woodhaven Road	PHILADELPHIA	PA	19154	40.09146	-74.97719
211617001	Kaplan Career Institute-Franklin Mills	Main Campus	177 Franklin Mills Blvd	Philadelphia	PA	19154	40.09146	-74.97719
215239002	Community College of Philadelphia	Northeast Regional Center	12901 Townsend Road	Phila.	PA	19154	40.09146	-74.97719
211608002	Cheyney University of Pennsylvania	Cheyney University Center City	701 Market Street	Philadelphia	PA	193190200	39.928663	-75.52526
211608001	Cheyney University of Pennsylvania	Main Campus	1837 UNIVERSITY CIRCLE	CHEYNEY	PA	19319	39.928663	-75.52526
455947001	Pulse Beauty Academy-A Paul Mitchell Partner School	Main Campus	150 E Pennsylvania Ave Ste 250	Downington	PA	19335	40.02342	-75.71389
418427001	Chester County Intermediate Unit	Main Campus	443 Boot Road	Downingtown	PA	193353043	40.02342	-75.71389
212683001	Empire Beauty School-Exton	Empire Beauty School - Exton, PA	454 WEST LINCOLN HIGHWAY	EXTON	PA	19341	40.040505	-75.63425
445799001	Universal Technical Institute of Pennsylvania Inc	Universal Technical Institute of Pennsylvania, Inc.	750 Pennsylvania Drive	Exton	PA	19341	40.040505	-75.63425
211006001	Automotive Training Center-Exton	Main Campus	114 PICKERING WAY	EXTON	PA	193411310	40.040505	-75.63425
216852002	Widener University-Main Campus	Exton	825 Springdale Drive	Exton	PA	193412843	40.040505	-75.63425
213011001	Immaculata University	Main Campus	1145 KING RD	IMMACULATA	PA	193450702	40.030536	-75.565
215062004	University of Pennsylvania	New Bolton Center	382 W Street Road	Kennett Square	PA	193481691	39.858137	-75.71227
213598001	Lincoln University of Pennsylvania	The Lincoln University	1570 BALTIMORE PIKE	LINCOLN UNIVERSITY	PA	19352	39.783675	-75.8944
212054007	Drexel University	LeBow College of Business - Malvern Campus	2 W. Liberty Blvd.	Malvern	PA	19355	40.042957	-75.53221
214607001	Pennsylvania State University-Penn State Great Valley	Great ValleyCampus Penn State	30 E SWEDESFORD RD	MALVERN	PA	19355	40.042957	-75.53221
216764001	West Chester University of Pennsylvania	Main Campus	UNIVERSITY AVENUE AND  HIGH STREET	WEST CHESTER	PA	19383	39.94545	-75.602401
461041001	Star Career Academy-Audubon	Main Campus	2501 Monroe Boulevard	Audubon	PA	194032422	40.146069	-75.38378
215044001	Cortiva Institute-Pennsylvania School of Muscle Therapy	Cortiva Institute-Pennsylvania School of Massage Therapy	211 South Gulph Suite 100	King of Prussia	PA	19406	40.092941	-75.37525
442347001	ITT Technical Institute-Plymouth Meeting	Main Campus	760 MOORE RD, STE 150	KING OF PRUSSIA	PA	19406	40.092941	-75.37525
443784003	Strayer University-Pennsylvania	King of Prussia	234 Mall Blvd.	King of Prussia	PA	19406	40.092941	-75.37525
482608004	DeVry University-Pennsylvania	King of Prussia Center	150 Allendale Rd., Ste. 3250	King of Prussia	PA	19406	40.092941	-75.37525
212133002	Eastern University	Palmer Theological Seminary The Seminary of Eastern University	588 North Gulph Rd	King of Prussia	PA	19406	40.092941	-75.37525
211088002	Arcadia University	King of Prussia	1150 First Ave., Suite 700	King of Prussia	PA	19406	40.092941	-75.37525
