UnitId	SetorCode	Address	City	State	Zip	Latitude	Longitude	TotalMen	TotalWomen	Murder	NegM	Forcib	NonForcib	Robbe	AggA	Burgla	Vehic	Arson
243106001	1	Belt St	Ramey	PR	006046150	18.498987	-67.13699	1204	1769	0	0	0	0	0	0	0	0.33	0
418782001	9	Parque Industrial La Montana km09 Edif932	Aguadilla	PR	00605	18.465162	-67.141486	210	1	0	0	0	0	0	0	0	0	0
242626001	2	P.O. BOX 20000	AGUADILLA	PR	00605	18.465162	-67.141486	2038	2557	0	0	0	0	0	0	0	0.33	0
241739002	2	CARR 111 AGUADILLA	AGUADILLA	PR	00605	18.465162	-67.141486	4833	8798	0	0	0	0	0.67	0	0.67	0	0
242954001	9	VISTA AZUL SHOPPING CENTER #2 KM.80.0	ARECIBO	PR	00612	18.449732	-66.69879	12	64	0	0	0	0	0.33	0	0	0	0
242422019	6	Victor Rojas Ave. Cervantes St.	Arecibo	PR	00612	18.449732	-66.69879	7119	9220	0	0	0	0	0.67	0	0	0	0
443100001	8	CALLE EUGENIO MARIA DE HOSTOS #175, ESQ, PURO GIRAU	ARECIBO	PR	006121800	18.449732	-66.69879	101	87	0	0	0	0	0	0	0	0	0
242981001	3	Manuel Perez Aviles St. Victor Rojas Avenue	ARECIBO	PR	00612	18.449732	-66.69879	619	1031	0	0	0	0	1.33	0.67	2.33	0.33	0
240879001	9	199 LLORENS TORRES AVE CORNER TO COLL Y TOSTE ST	ARECIBO	PR	00613	18.458093	-66.732732	39	117	0	0	0	0	1	0	0	0	0
242130001	6	20 SAN PATRICIO	ARECIBO	PR	006140067	18.429675	-66.674506	183	359	0	0	0	0	0	0	0	0	0
241395001	2	PO BOX 144045	ARECIBO	PR	006144045	18.429675	-66.674506	318	668	0	0	0	0	0	0	1	0	0
242635001	2	BO SAN DANIEL SECTOR LAS CANELAS, Carr. 2 Km. 80.4	ARECIBO	PR	00614	18.429675	-66.674506	1888	2911	0	0	0	0	0	0	0	0	0
243115001	1	FINCA LAS DUNAS CARR 653 RUTA 129 KM 8	ARECIBO	PR	006144010	18.429675	-66.674506	1518	2241	0	0	0	0	2.33	0.67	8.33	0	0
243601007	2	Carr. #2 Km 59 Sector Tiburn++n	Barceloneta	PR	00617	18.455499	-66.55575	6958	10329	0	0	0	0	0	0	0.33	0	0
243346003	2	Carretera #2 Km59 Hm 5 sector Tiburon	Barceloneta	PR	00617	18.455499	-66.55575	5075	8345	0	0	0	0	0	0	0	0	0
243346002	2	Carr. 100 Sector Miradero Km. 4.8	Cabo Rojo	PR	006231159	18.08643	-67.15222	5075	8345	0	0	0	0	0	0	0	0	0
419712001	9	CALLE MUNOZ RIVERA #69	CAGUAS	PR	00625	18.232109	-66.039087	235	9	0	0	0	0	0	0	0	0.33	0
376385002	2	167 MUNOZ RIVERA AVE SUITE 2	CAMUY	PR	006272324	18.435246	-66.85644	465	795	0	0	0	0	0	0	1	0	0
421896002	9	Angel G. Martinez #6	SABANA GRANDE	PR	00637	18.073078	-66.94864	181	209	0	0	0	0	0	0	0	0	0
243346005	2	Ave. Fernando Ribas Dominicci Carr 111 Km. 1.8	Utuado	PR	00641	18.268896	-66.70519	5075	8345	0	0	0	0	0	0.67	0	0	0
243188001	1	PO BOX 2500 CARR. # 10 KM. 52.2	UTUADO	PR	00641	18.268896	-66.70519	762	797	0	0	0	0	0	1.33	1	0.33	0
469407001	8	State. Road #2 Km. 86.9, Bo. Pueblo	Hatillo	PR	006590000	18.432956	-66.80039	100	170	0	0	0	0	1.67	0	0	0.67	0
242422009	6	31 Calle Munoz Rivera	Adjuntas	PR	006612202	18.150829	-65.826595	7119	9220	0	0	0	0	0	0	0	0	0
420255001	9	AVE.AGUSTIN RAMOS CALERO CALLE SURINAM 1059	ISABELA	PR	006620000	18.478855	-67.01973	61	0	0	0	0	0	0	0	0	0	0
243601005	2	Apartado 807	Isabela	PR	006620807	18.478855	-67.01973	6958	10329	0	0	0	0	0	0	0	0	0
242422010	6	Guillermo Esteves #78	Jayuya	PR	00664	18.212565	-66.59243	7119	9220	0	0	0	0	0	0	0	0	0
102711002	4	516 3rd Avenue	Seward	AK	006640889	18.212565	-66.59243	1032	315	0	0	0	0	0	1.67	0.67	0.33	0
241739003	2	CALLE CATALINA FIGUERAS #2 CENTRO	San Juan	PR	00664	18.212565	-66.59243	4833	8798	0	0	0	0	0	0	0	0	0
242422013	6	65 Infanteria St. 49 Interior Box 508	Lajas	PR	00667	18.017819	-67.04226	7119	9220	0	0	0	0	0.67	0	0	0	0
423397001	9	3 RAMOS VELEZ ST	MANATI	PR	00674	18.426137	-66.48697	40	0	0	0	0	0	0	0	0	0	0
242316001	9	AVENIDA COLON A 8	MANATI	PR	006740000	18.426137	-66.48697	124	211	0	0	0	0	0	0	0	0	0
469416001	9	Road 604, Km. 49.1, Barrio Tierras Nuevas Saliente	Manati	PR	006740000	18.426137	-66.48697	96	178	0	0	0	0	4	0	0	2	0
242422007	6	Carretera #2 Km. 49.7	Manati	PR	00674	18.426137	-66.48697	7119	9220	0	0	0	0	0	0	0	0	0
460677001	6	Carretera #2 K.M. 4.9 Puerta del Norte Mall	Manati	PR	00674	18.426137	-66.48697	131	482	0	0	0	0	0.33	0	0.33	0	0
242042001	4	State Road 2  Km.43.7	Manati	PR	006741091	18.426137	-66.48697	445	310	0	0	0	0	0	0	0	0	0.33
440651001	2	PASEO DE LA ATENAS  #101 - BOX 365	MANATI	PR	00674	18.426137	-66.48697	321	948	0	0	0	0	0	0	0	0	0
241128001	2	Carretera Estatal #2 Km.48.1	Manati	PR	006741082	18.426137	-66.48697	496	586	0	0	0	0	0	0	0	0	0
444680001	9	500 CALLE CONCEPCION VERA	MOCA	PR	00676	18.37956	-67.08424	28	24	0	0	0	0	0	0	0	0	0
376288001	9	CALLE RAMOS ANTONINI 116 ESTE	MAYAGUEZ	PR	00680	18.205232	-67.12655	19	63	0	0	0	0	0	0	0	0	0
241906001	9	CALLE MUNOZ RIVERA 9,10, 11 & 12 OESTE	MAYAGUEZ	PR	00680	18.205232	-67.12655	96	301	0	0	0	0	0	0	0	0	0
243072002	6	Road #2, Sn++balos #410	Mayaguez	PR	00680	18.205232	-67.12655	1104	1778	0	0	0	0	0	0	0	0	0
242422003	6	Urb. Sultana 75 Tenerife Ave	Mayaguez	PR	006801429	18.205232	-67.12655	7119	9220	0	0	0	0	4.67	0	0.33	0	0
241191001	2	CARR 106 KM 2.2 INT	MAYAGUEZ	PR	006800118	18.205232	-67.12655	536	867	0	0	0	0	1.33	1	1.33	2	0
243586001	2	482 S Calle Ramon E Betances	MAYAGUEZ	PR	00680	18.205232	-67.12655	595	906	0	0	0	0	0	0	0	0	0
414461002	6	P.O. BOX 3121	MAYAGUEZ	PR	00681	18.219023	-67.508068	3093	169	0	0	0	0	0	0	0	0	0
242149001	6	80 WEST MCKINLEY ST	MAYAGUEZ	PR	006811108	18.219023	-67.508068	211	385	0	0	0	0	0	0	1	0.33	0
441690002	2	Calle Pilar deFillo #110	Mayaguez	PR	006810662	18.219023	-67.508068	256	156	0	0	0	0	0	0	0	0	0
243197001	1	POST ST	MAYAGUEZ	PR	00681	18.219023	-67.508068	6343	5495	0	0	0	0	0.67	0	0.33	0.33	0
444583002	9	Edificio Rochelais center #35, Ingenio St, Ste. 101	Mayaguez	PR	006821392	18.208402	-67.15428	433	453	0	0	0	0	0	0	0	0	0
242617001	2	INTERAMERICAN UNIVERSITY AVENUE	SAN GERMAN	PR	006839801	18.092807	-67.04524	2313	2864	0	0	0	0	3	0	2.33	0.33	0
448716001	9	Calle Hosto #20	San Sebastian	PR	00685	18.332595	-66.98104	45	231	0	0	0	0	0	0	0.33	0	0
241836002	2	PO BOX 5078	SAN SEBASTIAN	PR	00685	18.332595	-66.98104	423	772	0	0	0	0	0	0	0	0	0
241836001	2	Betances 49	San Sebastian	PR	00685	18.332595	-66.98104	423	772	0	0	0	0	0	0	0	0	0
418773004	9	Carretera #2, Km 29.7 Centro Comercial The Gallery at Grand Caribe	Vega Alta	PR	006926064	18.419666	-66.33186	618	932	0	0	0	0	0	0	0	0	0
421586001	9	MARGINAL 114 MONTE CARLO	VEGA BAJA	PR	00693	18.440667	-66.3921	45	51	0	0	0	0	0	0	0	0	0
363916001	2	BARRIO ALGARROBO  SECTOR CRIOLLO CARR 67 Km .5	VEGA BAJA	PR	00693	18.440667	-66.3921	173	431	0	0	0	0	0	0	0	0	0
414461004	6	P.O. BOX 4118	VEGA BAJA	PR	00694	18.443109	-66.398302	3093	169	0	0	0	0	0	0	0	0	0
242422022	6	Yauco Plaza Shopping Center Local 49	Yauco	PR	00698	18.06547	-66.85587	7119	9220	0	0	0	0	1	0.33	0	0	0
404806001	3	3 BETANCES ST	YAUCO	PR	006983062	18.06547	-66.85587	114	288	0	0	0	0	0.67	0.67	0.33	0	0
243346006	2	Calle Santo Domingo Final No. 29	Yauco	PR	00698	18.06547	-66.85587	5075	8345	0	0	0	0	0	0	0	0	0
376242001	6	151, MORSE STREET  P.O. BOX 270	ARROYO	PR	007140270	17.987288	-66.05552	58	29	0	0	0	0	0	0	0	0	0
242662001	2	104 TURPEAUX IND PARK	MERCEDITA	PR	007151602	18.003492	-66.55868	2311	3510	0	0	0	0	0.33	0	0.33	0	0
243072001	6	1213 ACACIA STREET  VILLA FLORES URB	PONCE	PR	007162901	17.999066	-66.59965	1104	1778	0	0	0	0	0	0	1	0.33	0
431929001	8	AVENIDA HOSTOS 834	PONCE	PR	007161111	17.999066	-66.59965	63	180	0	0	0	0	0	0	0	0	0
363907001	2	AVE. EDNITA NAZARIO #1015	PONCE	PR	00716	17.999066	-66.59965	645	884	0	0	0	0	0	0.33	0.33	0.33	0
243212001	1	2151 Santiago de los Caballeros Avenue	PONCE	PR	007169996	17.999066	-66.59965	1305	1815	0	0	0	0	3.33	0	0.33	0.33	0
421896001	9	CONCORDIA 8180 ESQ AURORA	PONCE	PR	007171568	18.004303	-66.61374	181	209	0	0	0	0	0	0	0	0	0
242422002	6	Calle Ferrocarril 709 esquina Concordia	PONCE	PR	00717	18.004303	-66.61374	7119	9220	0	0	0	0	1	0	0	0	0
242565001	4	CANDIDO HOYOS 4820 URB. PERLA DEL SUR	PONCE	PR	00717	18.004303	-66.61374	439	205	0	0	0.33	0	2.67	0	0.33	0	0
241410001	2	2250 Boulevard Luis A. Ferre Aguayo	PONCE	PR	007179997	18.004303	-66.61374	3290	5051	0	0	0	0	6.33	0.33	1.67	0	0
136215014	2	2250 Avenida Las Americas	Ponce	PR	007170777	18.004303	-66.61374	7844	17826	0	0	0	0	0	0	0	0	0
243601004	2	carretera PR 192 Km 1.6 Sector El Triunfo	Naguabo	PR	00718	18.22048	-65.74293	6958	10329	0	0	0	0	0	0	0.33	0	0
242422008	6	Carr. 825 Km. 0.2 Barrio Achiote	Naranjito	PR	007190524	18.294571	-66.25098	7119	9220	0	0	0	0	0	0	0	0	0
437705001	8	Carr. 955 Km. 4.8 Barrio Palmer	Rio Grande	PR	007210000	18.364161	-65.778288	0	11	0	0	0	0	0	0	0.33	0	0
